A Thousand Years_ Christina Perri
Anthony Gonzalez Gael García Bernal - Un Poco Loco (From Coco)
Bad Day _ Daniel Powter
Bohemian Rhapsody _ Queen
Calvin Harris - Feels 
Cant Help Falling In Love_Elvis Presley
Channa Mereya _ Arjit singh
Come A Little Bit Closer  -  Jay  The Americans
Despacito_ Luis Fonsi
Dont Stop Me Now _ Queen
Endless Love _Lionel Richie
Fast car _Tracy Chapman
Fix You_ Coldplay
Hakuna Matata_Nathan Lane
Havana_ Camila Cabello
low_town_groove
